epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
58,3219.16,0.72832,0.46781,0.00927,0.89209,0.90215,0.93705,0.80917,0.48232,0.38109,0.00814,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,3432.42,0.72283,0.45908,0.00917,0.92207,0.83095,0.92121,0.80573,0.49247,0.38098,0.0083,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,3647.77,0.72174,0.46726,0.00912,0.91142,0.85035,0.93137,0.819,0.49262,0.3592,0.00834,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,3864.52,0.71565,0.44544,0.00899,0.91545,0.8865,0.94215,0.82841,0.48731,0.35413,0.00831,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,4079.73,0.71064,0.44296,0.00898,0.90303,0.87032,0.93262,0.82818,0.48737,0.35449,0.00824,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,4288.87,0.69648,0.43183,0.00876,0.90266,0.88119,0.93657,0.82849,0.48393,0.35219,0.00817,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,4500.47,0.69786,0.43682,0.00878,0.89688,0.84558,0.91698,0.80681,0.48867,0.35455,0.00832,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,4713.83,0.70012,0.43453,0.00887,0.87708,0.83851,0.90625,0.79786,0.48799,0.37173,0.00836,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,4935.58,0.68156,0.41972,0.00854,0.91345,0.85028,0.92282,0.81005,0.48358,0.36329,0.00817,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,5149.7,0.68222,0.41849,0.00859,0.91267,0.8474,0.92433,0.82077,0.48846,0.36197,0.00834,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,5366.9,0.67791,0.42073,0.00851,0.88687,0.89026,0.93179,0.82827,0.48654,0.36011,0.00824,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,5579.83,0.67131,0.41089,0.00848,0.90989,0.85522,0.92963,0.81819,0.48565,0.36564,0.00826,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,5790.21,0.66361,0.40913,0.00823,0.92168,0.86576,0.9328,0.81415,0.48231,0.36837,0.00814,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,6004.11,0.6574,0.3997,0.00816,0.91538,0.8648,0.91817,0.80768,0.47618,0.36019,0.00798,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,6220.36,0.64857,0.39178,0.00811,0.89881,0.89491,0.91885,0.80672,0.47464,0.37066,0.00796,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,6432.46,0.64907,0.3904,0.00809,0.90851,0.8809,0.93322,0.81939,0.47179,0.36631,0.00792,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
